Date (CE)	Claimant(s)	Description	Ref.
1757	Emanuel Swedenborg	Swedenborg, a former Lutheran, claimed that the Last Judgement occurred in the spiritual world this year.	[69][70]
19 May 1780	Connecticut General Assembly members, New Englanders	The sky turning dark during the day was interpreted as a sign of the end times. The primary cause of the event is believed to have been a combination of smoke from forest fires, a thick fog, and cloud cover.	[71]
1789	Pierre d'Ailly	The year 1789 would bring the coming of the Antichrist, according to this 14th-century cardinal.	[72]
1792
1794	Shakers	The Shakers, a Christian sect founded in 18th century England, predicted the world would end in 1792 and then in 1794.	[44]
19 Nov 1795	Nathaniel Brassey Halhed	While campaigning for Richard Brothers' release, Halhead proclaimed that the world would end on this day.	[73]
1793-1795	Richard Brothers	This retired sailor stated the Millennium would begin between 1793 and 1795. He was eventually committed to an insane asylum.	[67]
1805	Christopher Love	This Presbyterian minister predicted the destruction of the world by earthquake in 1805, followed by an age of everlasting peace when God would be known by all.	[74]
1806	Mary Bateman	In Leeds, England, in 1806 a hen began laying eggs on which the phrase "Christ is coming" was written. Eventually it was discovered to be a hoax. The owner, Mary Bateman, had written on the eggs in a corrosive ink so as to etch the eggs, and reinserted the eggs back into the hen's oviduct.	[75][76]
19 Oct 1814	Joanna Southcott	This 64-year-old self-described prophet claimed she was pregnant with the Christ child, and that he would be born on October 19, 1814. She died later that year having not delivered a child, and an autopsy proved she had not been pregnant.	[77]
1836	Johann Albrecht Bengel	In the 1730s this Lutheran clergyman proclaimed that Judgment Day would come in 1836, with the pope as the anti-Christ and the Freemasons representing the "false prophet" of Revelations.	[78]
1836	John Wesley	Wesley, the founder of the Methodist Church, foresaw the Millennium beginning this year. He wrote that Revelation 12:14 referred to 1058 to 1836, "when Christ should come".	[75][79]
28 Apr 1843
31 Dec 1843	Millerites	Although it was not officially endorsed by their leadership, many Millerites expected the Second Coming to occur on April 28 or at the end of 1843.	[80]
1843	Harriet Livermore	The first of two years this preacher predicted the world would end.	[81]
21 Mar 1844	William Miller	Miller, a Baptist preacher, predicted Christ would return on this day.	[82]
22 Oct 1844	Millerites	After Christ did not return on 21 March 1844, the Millerites then revised William Miller's prediction to 22 October that year, claiming to have miscalculated Scripture. The realization that the predictions were incorrect resulted in the Great Disappointment.	[82][83]
7 Aug 1847	George Rapp	Rapp, the founder of the Harmony Society, preached that Jesus would return in his lifetime, even as he lay dying on August 7, 1847.	[84]
1847	Harriet Livermore	The second prediction of the end of the world from this preacher.	[81]
1862	John Cumming	This Scottish clergyman stated it was 6000 years since creation in 1862, and that the world would end.	[85]
Joseph Morris	An English convert to Mormonism, Morris had revelations to gather his followers and wait for the Second Coming, through successive prophesied days.	[86]
1863	John Wroe	The founder of the Christian Israelite Church calculated that the Millennium would begin this year.	[77]
1873	Jonas Wendell	In 1870, Wendell published his views in the booklet entitled The Present Truth, or Meat in Due Season concluding that the Second Advent was sure to occur in 1873.	[87]
1874	Charles Taze Russell	This Christian minister predicted the return of Jesus to occur in 1874, and after this date reinterpreted the prediction to say that Jesus had indeed returned in invisible form.	[88][89]
1881	Mother Shipton (attrib.)	This 15th-century prophet was quoted as saying "The world to an end shall come, In eighteen hundred and eighty one" in a book published in 1862. In 1873 it was revealed to be a forgery; however, this did not stop some people from expecting the end.	[90]
1890	Wovoka	The founder of the Ghost Dance movement predicted in 1889 that the Millennium would occur in 1890.	[91]
1901	Catholic Apostolic Church	This church, founded in 1831, claimed that Jesus would return by the time the last of its 12 founding members died. The last member died in 1901.	[92]
23 Apr 1908	Michael Paget Baxter	The last of numerous apocalyptic predictions by this Anglican evangelist and author; this prediction was published in 1894.	[93]
1910	Camille Flammarion	Flammarion predicted that the 1910 appearance of Halley's Comet "would impregnate that atmosphere and possibly snuff out all life on the planet", but not the planet itself. "Comet pills" were sold to protect against toxic gases.	[83][94]
1892-1911	Charles Piazzi Smyth	This pyramidologist concluded from his research on the dimensions of the Great Pyramid of Giza that the Second Coming would occur somewhere between 1892 and 1911.	[95]
1914	Charles Taze Russell	Russell said "...the battle of the great day of God Almighty... The date of the close of that 'battle' is definitely marked in Scripture as October 1914. It is already in progress, its beginning dating from October, 1874."	[96]
1915	John Chilembwe	This Baptist educator and leader of a rebellion in the British protectorate of Nyasaland predicted the Millennium would begin this year.	[91]
1918	International Bible Students Association	"Christendom shall be cut off and glorification of the Little Flock (The Church) in the Spring of 1918 A. D."	[97]
1920	International Bible Students Association	In 1918, Christendom would go down as a system to oblivion and be succeeded by revolutionary governments. God would "destroy the churches wholesale and the church members by the millions." Church members would "perish by the sword of war, revolution and anarchy." The dead would lie unburied. In 1920 all earthly governments would disappear, with worldwide anarchy prevailing.	[98]
13 Feb 1925	Margaret Rowen	According to this Seventh-Day Adventist, the angel Gabriel appeared before her in a vision and told her that the world would end at midnight on this date.	[99]
1926	Spencer Perceval	This British MP, who was one of the 12 apostles of the Catholic Apostolic Church, believed that the world was growing nearer to the Apocalypse due to what he viewed as the rampant immorality of the times in Europe.	[100]
Sep 1935	Wilbur Glenn Voliva	This evangelist announced that "the world is going to go 'puff' and disappear" in September 1935.	[101]
1936	Herbert W. Armstrong	The founder of the Worldwide Church of God told members of his church that the Rapture was to take place in 1936, and that only they would be saved. After the prophecy failed, he changed the date three more times.	[102]
1941	Jehovah's Witnesses	A prediction of the end from the Jehovah's Witnesses, a group which branched from the Bible Student movement.	[103]
1943	Herbert W. Armstrong	The first of three revised dates from Armstrong after his 1936 prediction failed to come true.	[102]
1947	John Ballou Newbrough	The author of Oahspe: A New Bible foresaw the destruction of all nations and the beginning of post-apocalyptic anarchy in this year.	[90]
21 Dec 1954	Dorothy Martin	The world was to be destroyed by terrible flooding on this date, claimed this leader of a UFO cult called Brotherhood of the Seven Rays. The fallout of the group after the prediction failed was the basis for the 1956 book When Prophecy Fails.	[104]
22 Apr 1959	Florence Houteff	The second prophet of the Branch Davidians predicted the apocalypse foretold in the Book of Revelation would proceed on this date. The failure of the prophecy led to the split of the sect into several subsects, the most prominent led by Benjamin and Lois Roden.	[105]
4 Feb 1962	Jeane Dixon, various Indian astrologers	Dixon predicted a planetary alignment on this day was to bring destruction to the world. Mass prayer meetings were held in India.	[106][107]
20 Aug 1967	George Van Tassel	This day would mark the beginning of the third woe of the Apocalypse, during which the southeastern US would be destroyed by a Soviet nuclear attack, according to this UFO prophet, who claimed to have channeled an alien named Ashtar.	[108]
1967	Jim Jones	The founder of the People's Temple stated he had visions that a nuclear holocaust was to take place in 1967.	[109]
9 Aug 1969	George Williams	The founder of the Church of the Firstborn predicted the Second Coming of Christ would occur on this day.	[110]
1969	Charles Manson	Manson predicted that Helter skelter, an apocalyptic race war, would occur in 1969.	[111]
1972	Herbert W. Armstrong	The second of three revised dates from Armstrong after his 1936 and 1943 predictions failed to come true.	[102]
Jan 1974	David Berg	Berg, the leader of Children of God, predicted that there would be a colossal doomsday event heralded by Comet Kohoutek.	[112]
1975	Herbert W. Armstrong	Armstrong's fourth and final prediction.	[102]
1975	Jehovah's Witnesses	From 1966 on, Jehovah's Witnesses published articles which stated that the fall of 1975 would be 6000 years since man's creation, and suggested that Armageddon could be finished by then.	[113]
1976	Brahma Kumaris	The Brahma Kumaris founder, Lekhraj Kirpalani, has made a number of predictions of a global Armageddon which the religion believes it will inspire, internally calling it "Destruction". During Destruction, Brahma Kumari leaders teach the world will be purified, all of the rest of humanity killed by nuclear or civil wars and natural disasters which will include the sinking of all other continents except India.	[114]
1977	John Wroe	The founder of the Christian Israelite Church predicted this year for Armageddon to occur.	[90]
1977	William M. Branham	This Christian minister predicted the Rapture would occur no later than 1977.	[115]
17 Feb 1979	Roch Thériault	Thériault, who called himself Moïse (Moses), led a commune in the wilderness of eastern Quebec in the late seventies. Formerly a Seventh-Day Adventist, he told his group they would form the center of a new society during God's 1000 year reign following Armageddon.	[116]
1980	Leland Jensen	In 1978 Jensen predicted that there would be a nuclear disaster in 1980, followed by two decades of conflict, culminating in God's Kingdom being established on Earth.	[117]
1981	Chuck Smith	The founder of Calvary Chapel predicted the generation of 1948 would be the last generation, and that the world would end by 1981. Smith identified that he "could be wrong" but continued to say in the same sentence that his prediction was "a deep conviction in my heart, and all my plans are predicated upon that belief."	[118][119]
Apr-Jun 1982	Tara Centers	Full-page ads in many newspapers April 24 and 25, 1982, stated that "The Christ is Now Here!" and that he would make himself known "within the next two months".	[120]
10 Mar 1982	John Gribbin, Stephen Plagemann	Gribbin, an astrophysicist, co-authored the 1974 book The Jupiter Effect which predicted that combined gravitational forces of aligned planets would create a number of catastrophes, including a great earthquake on the San Andreas Fault.	[94][121]
21 Jun 1982	Benjamin Creme	Creme took out an ad in the Los Angeles Times stating that the Second Coming would occur in June 1982 with the Maitreya announcing it on worldwide television.	[122]
1982	Pat Robertson	In late 1976 on his 700 Club TV programme, Robertson predicted that the end of the world would come in this year.	[123]
1985	Lester Sumrall	This minister predicted the end in this year, even writing a book about it entitled I Predict 1985.	[124]
29 Apr 1986	Leland Jensen	Jensen predicted that Halley's Comet would be pulled into Earth's orbit on this day, causing widespread destruction.	[125]
17 Aug 1987	José Argüelles	Argüelles claimed that Armageddon would take place unless 144,000 people gathered in certain places across the world in order to "resonate in harmony" on this day.	[126]
11-13 Sep 1988
3 Oct 1988	Edgar C. Whisenant	Whisenant predicted in his book 88 Reasons Why the Rapture Could Be in 1988 that the Rapture of the Christian Church would occur between September 11 and 13, 1988. After his September predictions failed to come true, Whisenant revised his prediction date to October 3.	[127]
30 Sep 1989	Edgar C. Whisenant	After all his 1988 predictions failed to come true, Whisenant revised his prediction date to this day.	[127]
23 Apr 1990	Elizabeth Clare Prophet	Prophet predicted a nuclear war would start on this day, with the world ending 12 years later, leading her followers to stockpile a shelter with supplies and weapons. Later, after Prophet's prediction did not come to pass, she was diagnosed with epilepsy and Alzheimer's disease.	[128][129]
9 Sep 1991	Menachem Mendel Schneerson	This Russian-born rabbi called for the Messiah to come by the start of the Jewish New Year.	[130]
1991	Louis Farrakhan	The leader of the Nation of Islam declared that the Gulf War would be the "War of Armageddon which is the final war."	[131]
28 Sep 1992	Rollen Stewart	This born-again Christian predicted the Rapture would take place on this day.	[132]
28 Oct 1992	Lee Jang Rim	Lee, the leader of the Dami Mission church, predicted the rapture would occur on this day.	[133]
1993	David Berg	Berg predicted the tribulation would start in 1989 and that the Second Coming would take place in 1993.	[134]
2 May 1994	Neal Chase	This Bahá'í sect leader predicted that New York City would be destroyed by a nuclear bomb on March 23, 1994, and the Battle of Armageddon would take place 40 days later.	[135]
6 Sep 1994
29 Sep 1994
2 Oct 1994	Harold Camping	Camping predicted the Rapture would occur on 6 September 1994. When it failed to occur he revised the date to the 29th of September and then to the 2nd October.	[136][137]
31 Mar 1995	Harold Camping	Camping's fourth predicted date for the end. This would be Camping's last prediction until 2011.	[136]
17 Dec 1996	Sheldan Nidle	Californian psychic Sheldan Nidle predicted that the world would end on this date, with the arrival of 16 million space ships and a host of angels.	[138]
26 Mar 1997	Marshall Applewhite	Applewhite, leader of the Heaven's Gate cult, claimed that a spacecraft was trailing the Comet Hale-Bopp and argued that suicide was "the only way to evacuate this Earth" so that the cult members' souls could board the supposed craft and be taken to another "level of existence above human". Applewhite and 38 of his followers committed mass suicide.	[139]
10 Aug 1997	Aggai	The 1st-century bishop of Edessa predicted this date to be the birth date of the Antichrist and the end of the universe.	[140]
23 Oct 1997	James Ussher	This 17th-century Irish archbishop predicted this date to be 6000 years since creation, and therefore the end of the world.	[141]
31 Mar 1998	Hon-Ming Chen	Chen, leader of the Taiwanese cult Chen Tao - "The True Way" - claimed that God would come to Earth in a flying saucer at 10:00 am on this date.	[142]
Jul 1999	Nostradamus	A quatrain by Nostradamus which stated the "King of Terror" would come from the sky in "1999 and seven months" was frequently interpreted as a prediction of doomsday in July 1999.	[143]
18 Aug 1999	The Amazing Criswell	The predicted date of the end of the world, according to this psychic well known for predictions.	[144]
11 Sep 1999	Philip Berg	Berg, dean of the worldwide Kabbalah Centre, stated that on this date "a ball of fire will descend, destroying almost all of mankind, all vegetation, all forms of life."	[145]
1999	Charles Berlitz	This linguist predicted the end would occur in this year. He did not predict how it would occur, stating that it might involve nuclear devastation, asteroid impact, pole shift or other Earth changes.	[146]
1999	Hon-Ming Chen	The leader of the cult Chen Tao preached that a nuclear holocaust would destroy Europe and Asia in 1999.	[147]
1999	James Gordon Lindsay	This preacher predicted the great tribulation would begin before 2000.	[148]
1999	Timothy Dwight IV	This 19th century president of Yale University foresaw Christ's Millennium starting by 2000.	[149]
1999	Nazim Al-Haqqani	This Sufi Muslim sheikh predicted that the Last Judgment would occur before 2000.	[150]
1 Jan 2000	Various	During and before 1999 there was widespread predictions of a Y2K computer bug that would crash many computers on midnight of December 31, 1999, and cause malfunctions leading to major catastrophes worldwide, and that society would cease to function.	[94]
1 Jan 2000	Credonia Mwerinde, Joseph Kibweteere	An estimated 778 followers of this Ugandan religious movement perished in a devastating fire and a series of poisonings and killings that were either a group suicide or an orchestrated mass murder by group leaders after their predictions of the apocalypse failed to come about.	[151][152]
1 Jan 2000	Jerry Falwell	Falwell foresaw God pouring out his judgement on the world on this day.	[153]
1 Jan 2000	Tim LaHaye, Jerry B. Jenkins	These Christian authors stated that the Y2K bug would trigger global economic chaos, which the Antichrist would use to rise to power. As the date approached, however, they changed their minds.	[154]
6 Apr 2000	James Harmston	The leader of the True and Living Church of Jesus Christ of Saints of the Last Days predicted the Second Coming of Christ would occur on this day.	[155]
5 May 2000	Nuwaubian Nation	This movement claimed that the planetary lineup would cause a "star holocaust", pulling the planets toward the Sun on this day.	[156]
2000	Peter Olivi	This 13th-century theologian wrote that the Antichrist would come to power between 1300 and 1340, and the Last Judgement would take place around 2000.	[157]
2000	Ruth Montgomery	This self-described Christian psychic predicted the Earth's axis would shift and the Antichrist would reveal himself in this year.	[158]
2000	Edgar Cayce	This psychic predicted the Second Coming would occur this year.	[159]
2000	Sun Myung Moon	The founder of the Unification Church predicted the Kingdom of Heaven would be established in this year.	[160]
2000	Ed Dobson	This pastor predicted the end would occur in his book The End: Why Jesus Could Return by A.D. 2000.	[161]
2000	Lester Sumrall	This minister predicted the end in his book I Predict 2000.	[162]
2000	Jonathan Edwards	This 18th-century preacher predicted that Christ's thousand-year reign would begin in this year.	[163]
2001	Tynnetta Muhammad	This columnist for the Nation of Islam predicted the end would occur in this year.	[164]
27 May 2003	Nancy Lieder	Lieder originally predicted the date for the Nibiru collision as May 2003. According to her website, aliens in the Zeta Reticuli star system told her through messages via a brain implant of a planet which would enter our solar system and cause a pole shift on Earth that would destroy most of humanity.	[165]
30 Oct-Nov 29 2003	Aum Shinrikyo	This Japanese cult, which carried out the Tokyo subway sarin attack in 1995, predicted the world would be destroyed by a nuclear war between 30 October and 29 November 2003.	[166]
12 Sep 2006	House of Yahweh	Yisrayl Hawkins, pastor and overseer of The House of Yahweh, predicted in his February 2006 newsletter that a nuclear war would begin on September 12, 2006.	[167]
29 Apr 2007	Pat Robertson	In his 1990 book The New Millennium, Robertson suggests this date as the day of Earth's destruction.	[168]
May 2008	Pyotr Kuznetsov	Followers of Kuzentsov, 31 adults and 4 children (one 18 months old), went into a cave in Russia in November 2007 thinking they would be safe from an apocalypse occurring in the spring. Kuzentsov did not join them, was later committed and attempted suicide when some had left the cave in the spring. By time all the followers had left the cave in the spring, two adults had died.	[169]
2010	Hermetic Order of the Golden Dawn	This magical organization, which existed from 1887 to 1903, predicted the world would end during this year.	[170]
21 May 2011	Harold Camping	Camping predicted that the Rapture and devastating earthquakes would occur on 21 May 2011, with God taking approximately 3% of the world's population into Heaven, and that the end of the world would occur five months later on October 21.	[171]
29 Sep 2011	Ronald Weinland	Weinland, the founder of the Church of God Preparing for the Kingdom of God, stated Jesus would return on this day. After his prophecy failed to come true he changed the date to 27 May 2012.	[172]
21 Oct 2011	Harold Camping	When his original prediction failed to come about, Camping revised his prediction and said that on May 21, a "Spiritual Judgment" took place, and that both the physical Rapture and the end of the world would occur on 21 October 2011.	[171]
Aug-Oct 2011	Various	There were fears amongst the public that Comet Elenin travelling almost directly between Earth and the Sun would cause disturbances to the Earth's crust, causing massive earthquakes and tidal waves. Others predicted that Elenin would collide with Earth on October 16. Scientists tried to calm fears by stating that none of these events were possible.	[173]
27 May 2012	Ronald Weinland	Weinland's revised date for the return of Jesus following the failure of his 2011 prediction.	[174]
30 Jun 2012	José Luis de Jesús	This cult leader predicted that the world's governments and economies would fail on this day, and that he and his followers would undergo a transformation that would allow them to fly and walk through walls.	[175]
21 Dec 2012	Various	The 2012 phenomenon predicted the world would end at the end of the 13th b'ak'tun. The Earth would be destroyed by an asteroid, Nibiru, or some other interplanetary object; an alien invasion; or a supernova. Mayanist scholars stated that no extant classic Maya accounts forecasted impending doom, and that the idea that the Long Count calendar ends in 2012 misrepresented Maya history and culture. Scientists from NASA, along with expert archeologists, stated that none of those events was possible.	[176][177]
23 Aug 2013	Grigori Rasputin	Rasputin, a Russian mystic who died in 1916, prophesied a storm would take place on this day where fire would destroy most life on land and Jesus would come back to Earth to comfort those in distress.	[178]
Apr 2014-Sep 2015	John Hagee, Mark Biltz	The so-called blood moon prophecy, first predicted by Mark Blitz in 2008 and then by John Hagee in 2014. These Christian ministers claim that the tetrad in 2014 and 2015 may represent the beginning of the Messianic end times. Some Mormons in Utah combined the September 2015 blood moon with other signs, causing a large increase in sales of preppers survival supplies.	[179][180]
23 Sep-15 Oct 2017	David Meade	Conspiracy theorist David Meade predicted that Nibiru would become visible in the sky and would "soon" destroy the Earth.	[181]
23 Apr 2018	David Meade	After his 2017 prediction failed, Meade predicted the rapture would take place and that the world would end on this date.	[182][183]
