country,city,address,coordinates,operator,type,phone,email,website,image,wikidata
Albania,Tirana,,,United States of America,embassy,,,http://tirana.usembassy.gov/,http://commons.wikimedia.org/wiki/Special:FilePath/US%20Embassy%2C%20Tirana.jpg,http://www.wikidata.org/entity/Q5369974
Albania,Tirana County,,Point(19.822777777 41.320833333),Vatican City,Apostolic Nunciature,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ambasada%20e%20Vatikanit%20n%C3%AB%20Tiran%C3%AB%2C%20Vatican%20Embassy%20in%20Tirana%2C%20Amasciata%20del%20Vaticano%20a%20Tirana.%20Foto%20by%20Dritan%20Mardodaj..jpg,http://www.wikidata.org/entity/Q36362828
Algeria,,,,Saudi Arabia,embassy,,,,,http://www.wikidata.org/entity/Q54857306
Algeria,,,Point(2.991944444 36.754166666),State of Palestine,embassy,,,,,http://www.wikidata.org/entity/Q29512331
Algeria,,,,Vatican City,Apostolic Nunciature,,,,,http://www.wikidata.org/entity/Q3879490
Algeria,Algiers,,,Norway,embassy,,,,,http://www.wikidata.org/entity/Q19383547
Algeria,Algiers,,,Russia,embassy,,,http://www.algerie.mid.ru/,,http://www.wikidata.org/entity/Q4436010
Algeria,Algiers,,,Sweden,embassy,,,,,http://www.wikidata.org/entity/Q18333494
Algeria,Algiers,"Lotissement El Fath, Sable Rouge №75, El-Biar, Alger",Point(3.02948 36.76023),Ukraine,embassy,+213-21-69-13-87,mailto:emb_dz@mfa.gov.ua,http://algeria.mfa.gov.ua,,http://www.wikidata.org/entity/Q12142692
Algeria,Algiers,,,United States of America,embassy,,,https://algiers.usembassy.gov/,,http://www.wikidata.org/entity/Q21286443
Algeria,El Mouradia,,Point(3.044444 36.759167),Morocco,embassy,,,,,http://www.wikidata.org/entity/Q2841873
Algeria,El Mouradia,,Point(3.034764 36.75034),Tunisia,embassy,,,,,http://www.wikidata.org/entity/Q2841839
Algeria,Hydra,,Point(3.03476 36.7503),France,embassy,,,http://www.ambafrance-dz.org,http://commons.wikimedia.org/wiki/Special:FilePath/La%20chancellerie.jpg,http://www.wikidata.org/entity/Q17490933
Andorra,,,,Vatican City,Apostolic Nunciature,,,,,http://www.wikidata.org/entity/Q3879486
Andorra,Andorra la Vella,,Point(1.525152 42.509747),France,embassy,,,http://ambafrance-ad.org/,,http://www.wikidata.org/entity/Q2841713
Angola,,,Point(13.234260675 -8.835828283),Netherlands,embassy,,,,,http://www.wikidata.org/entity/Q38048626
Angola,,,,State of Palestine,embassy,,,,,http://www.wikidata.org/entity/Q29512341
Angola,,,,Vatican City,Apostolic Nunciature,,,,,http://www.wikidata.org/entity/Q4780645
Angola,Luanda,Rua Amilcar Cabral 33 Mutamba,,Australia,consulate,+244-222-395-890,,http://dfat.gov.au/about-us/our-locations/missions/pages/australian-consulate-in-luanda-angola.aspx,,http://www.wikidata.org/entity/Q23891474
Angola,Luanda,,,Brazil,embassy,,,,,http://www.wikidata.org/entity/Q10272258
Angola,Luanda,,Point(13.236026 -8.816567),France,embassy,,,http://www.ambafrance-ao.org/,,http://www.wikidata.org/entity/Q2841716
Angola,Luanda,,,Sweden,embassy,,,,,http://www.wikidata.org/entity/Q18449212
Angola,Luanda,"Rua Companhia de Jesus, 35, Luanda 1000",Point(13.248292 -8.809221),Ukraine,embassy,+244-222-716-758,mailto:emb_ao@mfa.gov.ua,http://angola.mfa.gov.ua/,,http://www.wikidata.org/entity/Q12142693
Antigua and Barbuda,,,,Vatican City,Apostolic Nunciature,,,,,http://www.wikidata.org/entity/Q6961041
Antigua and Barbuda,St. John's,,,Australia,consulate,,,,,http://www.wikidata.org/entity/Q23891476
Argentina,,,Point(-58.36412185 -34.60702222),Netherlands,embassy,,,,,http://www.wikidata.org/entity/Q38049406
Argentina,,,,Saudi Arabia,embassy,,,,,http://www.wikidata.org/entity/Q54857194
Argentina,,,,State of Palestine,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Palestinian%20embassy%20in%20Buenos%20Aires.jpg,http://www.wikidata.org/entity/Q29512264
Argentina,Bariloche,,,Slovenia,consulate,,,,,http://www.wikidata.org/entity/Q19934395
Argentina,Buenos Aires,,,Australia,embassy,,,http://argentina.embassy.gov.au/,,http://www.wikidata.org/entity/Q23891477
Argentina,Buenos Aires,,,Brazil,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/BrazilianEmbassyBsAs1.jpg,http://www.wikidata.org/entity/Q3817562
Argentina,Buenos Aires,,Point(-58.382517 -34.59176),France,embassy,,,http://www.embafrancia-argentina.org/,http://commons.wikimedia.org/wiki/Special:FilePath/FrenchEmbassyBsAs1.jpg,http://www.wikidata.org/entity/Q2841720
Argentina,Buenos Aires,,Point(-58.4025 -34.58222222),Italy,embassy,,,,,http://www.wikidata.org/entity/Q15820507
Argentina,Buenos Aires,,,Norway,embassy,,,,,http://www.wikidata.org/entity/Q19383562
Argentina,Buenos Aires,,Point(-58.49608333 -34.56288889),People's Republic of China,embassy,,,,,http://www.wikidata.org/entity/Q5830356
Argentina,Buenos Aires,,,Slovenia,consulate,,,,,http://www.wikidata.org/entity/Q12794032
Argentina,Buenos Aires,,,South Korea,embassy,,,,,http://www.wikidata.org/entity/Q55734507
Argentina,Buenos Aires,,Point(-58.378953 -34.608195),Sweden,embassy,,,,,http://www.wikidata.org/entity/Q10686002
Argentina,Buenos Aires,,Point(-58.445567 -34.565617),Turkey,embassy,,,,,http://www.wikidata.org/entity/Q1752608
Argentina,Buenos Aires,"Olleros 2169, C1426CRM, Ciudad Autónoma de Buenos Aires",Point(-58.441973 -34.56833),Ukraine,embassy,+54-11-4775-3476,mailto:emb_ar@mfa.gov.ua,http://argentina.mfa.gov.ua/ua,,http://www.wikidata.org/entity/Q12142694
Argentina,Buenos Aires,,Point(-58.396111111 -34.585),United Kingdom,embassy,,,https://www.gov.uk/government/world/organisations/british-embassy-buenos-aires/,http://commons.wikimedia.org/wiki/Special:FilePath/ID%20314%20Embajada%20del%20Reino%20Unido%205454.jpg,http://www.wikidata.org/entity/Q17376115
Argentina,Mendoza,,,Slovenia,consulate,,,,,http://www.wikidata.org/entity/Q19934386
Armenia,,,Point(44.516305555 40.176111111),Poland,embassy,,,http://www.erywan.msz.gov.pl,http://commons.wikimedia.org/wiki/Special:FilePath/Embassy%20of%20Poland%2C%20Yerevan.jpg,http://www.wikidata.org/entity/Q30905834
Armenia,,,,Vatican City,Apostolic Nunciature,,,,,http://www.wikidata.org/entity/Q3879489
Armenia,Yerevan,,Point(44.506479 40.174027),France,embassy,,,http://www.ambafrance-am.org/,http://commons.wikimedia.org/wiki/Special:FilePath/Embassy%20of%20France%20in%20Armenia.png,http://www.wikidata.org/entity/Q2841724
Armenia,Yerevan,,,Slovenia,consulate,,,,,http://www.wikidata.org/entity/Q12794033
Armenia,Yerevan,,,Sweden,embassy,,,,,http://www.wikidata.org/entity/Q18333519
Armenia,Yerevan,"0037, м.Ереван, Арабкир, 29 вулиця, д.5/1",Point(44.513562 40.198645),Ukraine,embassy,+374-10-229727,mailto:emb_am@mfa.gov.ua,http://armenia.mfa.gov.ua/ua,,http://www.wikidata.org/entity/Q12142743
Armenia,Yerevan,,Point(44.481723 40.165138),United States of America,embassy,,,http://armenia.usembassy.gov/,http://commons.wikimedia.org/wiki/Special:FilePath/US%20Embassy%2C%20Yerevan.jpg,http://www.wikidata.org/entity/Q5369976
Australia,,,Point(149.111583333 -35.3105),Japan,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Japanese%20Embassy%20in%20Canberra.jpg,http://www.wikidata.org/entity/Q45588758
Australia,,,Point(149.1113767 -35.3074076),Netherlands,embassy,,,,,http://www.wikidata.org/entity/Q38049546
Australia,,,,State of Palestine,embassy,,,,,http://www.wikidata.org/entity/Q51158662
Australia,Australian Capital Territory,,Point(149.117 -35.3072),United States of America,embassy,,,https://au.usembassy.gov/,http://commons.wikimedia.org/wiki/Special:FilePath/US%20Embassy%20in%20Yarralumla%2C%20Australian%20Capital%20Territory.jpg,http://www.wikidata.org/entity/Q5369953
Australia,Australian Capital Territory,,Point(149.12653056 -35.32713611),Vatican City,Apostolic Nunciature,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Apostolic%20Nuncio%20in%20Canberra.jpg,http://www.wikidata.org/entity/Q6960346
Australia,Canberra,,Point(149.115888888 -35.303083333),Estonia,embassy,,,http://canberra.mfa.ee/,,http://www.wikidata.org/entity/Q23042543
Australia,Canberra,,Point(149.117426 -35.304304),France,embassy,,,http://www.ambafrance-au.org/,,http://www.wikidata.org/entity/Q2841721
Australia,Canberra,,Point(149.112 -35.308),Germany,embassy,,,http://www.australien.diplo.de/Vertretung/australien/de/02-Botschaft/0-Botschaft.html/,http://commons.wikimedia.org/wiki/Special:FilePath/Deutsche%20Botschaft%20Canberra.jpg,http://www.wikidata.org/entity/Q5369695
Australia,Canberra,,,Indonesia,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Indonesian%20Embassy%20in%20Canberra%20July%202014.jpg,http://www.wikidata.org/entity/Q48816312
Australia,Canberra,,,Norway,embassy,,,,,http://www.wikidata.org/entity/Q19383563
Australia,Canberra,,,Russia,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Russian%20Embassy%20Canberra.jpg,http://www.wikidata.org/entity/Q16487654
Australia,Canberra,,,Saudi Arabia,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saudi%20Arabian%20Embassy%20in%20Canberra.jpg,http://www.wikidata.org/entity/Q54857098
Australia,Canberra,,,South Korea,embassy,,,,,http://www.wikidata.org/entity/Q55734513
Australia,Canberra,,Point(149.11454 -35.3083),Sweden,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Swedish%20Embassy%2C%20Canberra%20%283%29.JPG,http://www.wikidata.org/entity/Q10686003
Australia,Canberra,"Level 12:1/60 Marcus Clarke Street, Canberra ACT",Point(149.12713 -35.275861),Ukraine,embassy,+61-2-6230-5789,mailto:emb_au@mfa.gov.ua,http://australia.mfa.gov.ua/,http://commons.wikimedia.org/wiki/Special:FilePath/St%20George%20Centre%2C%20Canberra%20%28alternate%20view%29.JPG,http://www.wikidata.org/entity/Q12142690
Australia,Canberra,,Point(149.13 -35.301111111),indigenous Australians,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Aboriginal%20Tent%20Embassy%2C%20Canberra%20003.JPG,http://www.wikidata.org/entity/Q189212
Australia,New South Wales,,Point(151.193 -33.8561),France,consulate general,,,http://www.ambafrance-au.org/-Consulat-general-a-Sydney-,,http://www.wikidata.org/entity/Q16507587
Australia,Sydney,,,Slovenia,consulate general,,,,,http://www.wikidata.org/entity/Q12789676
Australia,Yarralumla,"7 Turrana St, Yarralumla ACT 2600, Australia",Point(149.114 -35.309),Poland,embassy,,,http://canberra.mfa.gov.pl/en/,http://commons.wikimedia.org/wiki/Special:FilePath/Embassy%20of%20the%20Republic%20of%20Poland%20in%20Australia.jpg,http://www.wikidata.org/entity/Q5369821
Austria,,,,Saudi Arabia,embassy,,,,,http://www.wikidata.org/entity/Q54857177
Austria,Graz,,,Slovenia,consulate,,,,,http://www.wikidata.org/entity/Q19934379
Austria,Innsbruck,,,Slovenia,consulate,,,,,http://www.wikidata.org/entity/Q12794039
Austria,Klagenfurt,,,Slovenia,consulate general,,,,,http://www.wikidata.org/entity/Q12789677
Austria,Linz,,,Slovenia,consulate,,,,,http://www.wikidata.org/entity/Q12794048
Austria,Salzburg,,,Slovenia,consulate,,,,,http://www.wikidata.org/entity/Q12794053
Austria,Vienna,"Prinz-Eugen-Straße 18, 1040 Wien",Point(16.3763 48.1955),Albania,embassy,,,http://www.ambasadat.gov.al/austria/,,http://www.wikidata.org/entity/Q51711009
Austria,Vienna,,Point(16.374432 48.210147),Argentina,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Edificio%20que%20alberga%20la%20Embajada%20Argentina.jpg,http://www.wikidata.org/entity/Q15216555
Austria,Vienna,,Point(16.30964 48.18835),Armenia,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien-Penzing%20-%20Armenische%20Botschaft.jpg,http://www.wikidata.org/entity/Q51722415
Austria,Vienna,,Point(16.373 48.1986),Australia,embassy,,,http://austria.embassy.gov.au/,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaften%20von%20Australien%20und%20Neuseeland%2001.jpg,http://www.wikidata.org/entity/Q23891480
Austria,Vienna,,Point(16.28574 48.18975),Azerbaijan,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Moservilla071029.jpg,http://www.wikidata.org/entity/Q12836873
Austria,Vienna,,Point(16.3671 48.1895),Belgium,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Palais%20Hohenlohe-Bartenstein%20Sch%C3%B6nburgstr%208-10.JPG,http://www.wikidata.org/entity/Q54168790
Austria,Vienna,,Point(16.3648 48.1953),Bolivia,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bolivianische%20Botschaft-Waaggasse%2010.JPG,http://www.wikidata.org/entity/Q54168797
Austria,Vienna,,Point(16.37560556 48.20130278),Brazil,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pestalozzigasse4.JPG,http://www.wikidata.org/entity/Q10272282
Austria,Vienna,,Point(16.3737 48.1976),Bulgaria,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Palais%20Wasserburg-Schwindgasse%208.JPG,http://www.wikidata.org/entity/Q54168801
Austria,Vienna,,Point(16.3785 48.2109),Canada,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Viena%20ambaixada%20filipina.jpg,http://www.wikidata.org/entity/Q54168853
Austria,Vienna,,Point(16.35619444 48.20930556),Colombia,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Haus-Stadiongasse%206-8-01.jpg,http://www.wikidata.org/entity/Q5369655
Austria,Vienna,,Point(16.3783 48.198),Croatia,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Palais%20Hoyos%20Ansicht%202.jpg,http://www.wikidata.org/entity/Q54168873
Austria,Vienna,,Point(16.3834 48.199),Cyprus,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Zyprischebotschaftwien.jpg,http://www.wikidata.org/entity/Q54169013
Austria,Vienna,,Point(16.3122 48.1896),Czech Republic,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Penzinger%20Stra%C3%9Fe%20-%20View%20WSW%20towards%20Czech%20Embassy.jpg,http://www.wikidata.org/entity/Q54168990
Austria,Vienna,,Point(16.3805 48.1894),El Salvador,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20von%20El%20Salvador.jpg,http://www.wikidata.org/entity/Q54168815
Austria,Vienna,,Point(16.3703 48.2157),Finland,embassy,,,,,http://www.wikidata.org/entity/Q54168819
Austria,Vienna,,Point(16.3745 48.1986),France,embassy,,,http://www.ambafrance-at.org/,http://commons.wikimedia.org/wiki/Special:FilePath/Franz%C3%B6sische%20Botschaft%20Wien.jpg,http://www.wikidata.org/entity/Q572567
Austria,Vienna,,Point(16.3828 48.1978),Germany,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Deutsche%20Botschaft%20Wien%20Eingangsbereich.jpg,http://www.wikidata.org/entity/Q1202238
Austria,Vienna,,Point(16.372 48.1968),Greece,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Griechische%20Botschaft%20in%20Wien.jpg,http://www.wikidata.org/entity/Q54168824
Austria,Vienna,,Point(16.3632 48.2104),Hungary,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Palais%20Strattman%20Bankgasse%204-6%20Ung%20Botschaft.JPG,http://www.wikidata.org/entity/Q54168997
Austria,Vienna,,Point(16.384285 48.1972),Iran,embassy,,,http://de.vienna.mfa.ir/,http://commons.wikimedia.org/wiki/Special:FilePath/Palais%20Sigry%20St.%20Marsan%20Botschaft%20Iran.JPG,http://www.wikidata.org/entity/Q15820387
Austria,Vienna,,Point(16.3784 48.2108),Iraq,embassy,,,,,http://www.wikidata.org/entity/Q54168828
Austria,Vienna,,Point(16.382759 48.196124),Italy,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Palais%20Metternich-Rennweg%2027.JPG,http://www.wikidata.org/entity/Q3613757
Austria,Vienna,,Point(16.3808 48.1971),Jordan,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20von%20Jordanien%2020180507-01.jpg,http://www.wikidata.org/entity/Q54168842
Austria,Vienna,,Point(16.3797 48.1905),Kosovo,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20der%20Republik%20Kosovo.jpg,http://www.wikidata.org/entity/Q54168868
Austria,Vienna,,Point(16.3626 48.2093),Liechtenstein,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Liechtenstein%20embassy%20Vienna%20Sept%202006%20001.jpg,http://www.wikidata.org/entity/Q1824041
Austria,Vienna,,Point(16.3942 48.2068),Lithuania,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20von%20Litauen%2020180509-01.jpg,http://www.wikidata.org/entity/Q1620570
Austria,Vienna,,Point(16.3682 48.2024),Malta,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20von%20Malta.jpg,http://www.wikidata.org/entity/Q54168880
Austria,Vienna,"Renngasse 5, 1010 Wien",Point(16.3669 48.2127),Mexico,embassy,,,https://directorio.sre.gob.mx/index.php/embajadas-de-mexico-en-el-exterior/austria,http://commons.wikimedia.org/wiki/Special:FilePath/Hohenstaufengasse1.jpg,http://www.wikidata.org/entity/Q24264229
Austria,Vienna,,Point(16.3943 48.2066),Moldova,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20der%20Republik%20Moldova%2020180509-01.jpg,http://www.wikidata.org/entity/Q54168942
Austria,Vienna,,Point(16.3628 48.2025),Montenegro,embassy,,,http://www.me-austria.eu/,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20von%20Montenegro.jpg,http://www.wikidata.org/entity/Q5369795
Austria,Vienna,Zuckerkandlgasse 2,Point(16.3876 48.2011),Namibia,embassy,,,http://www.embnamibia.at,http://commons.wikimedia.org/wiki/Special:FilePath/Botschaft%20von%20Namibia%2001.jpg,http://www.wikidata.org/entity/Q1964309
Austria,Vienna,,Point(16.373 48.1986),New Zealand,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaften%20von%20Australien%20und%20Neuseeland%2001.jpg,http://www.wikidata.org/entity/Q54168886
Austria,Vienna,,Point(16.3582 48.2132),Nicaragua,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ebendorferstra%C3%9Fe%2016.JPG,http://www.wikidata.org/entity/Q54168895
Austria,Vienna,,Point(16.382 48.1965),Nigeria,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20von%20Nigeria%2020180507-02.jpg,http://www.wikidata.org/entity/Q54168900
Austria,Vienna,,Point(16.312 48.1912),North Korea,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Palais%20Zichy-Beckmanngasse%2010-Botschaft%20Nordkorea.jpg,http://www.wikidata.org/entity/Q54168907
Austria,Vienna,,Point(16.3839 48.1963),Norway,embassy,,,https://www.norway.no/de/austria/,http://commons.wikimedia.org/wiki/Special:FilePath/Norwegischebotschaftwien.jpg,http://www.wikidata.org/entity/Q19383605
Austria,Vienna,,Point(16.3618 48.2149),Oman,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20von%20Oman%2020180509.jpg,http://www.wikidata.org/entity/Q54168921
Austria,Vienna,,Point(16.3823 48.1977),People's Republic of China,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Metternichgasse4.JPG,http://www.wikidata.org/entity/Q54168808
Austria,Vienna,,Point(16.3716 48.2028),Peru,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mahlerstrasse%207.jpg,http://www.wikidata.org/entity/Q54168928
Austria,Vienna,,Point(16.3785 48.2109),Philippines,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Viena%20ambaixada%20filipina.jpg,http://www.wikidata.org/entity/Q54168936
Austria,Vienna,,Point(16.2896 48.1874),Poland,embassy,,,http://www.wieden.msz.gov.pl/,,http://www.wikidata.org/entity/Q5369829
Austria,Vienna,,Point(16.3645 48.2145),Qatar,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20von%20Katar%2020180509-02.jpg,http://www.wikidata.org/entity/Q54168861
Austria,Vienna,,Point(16.3796 48.1907),Romania,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20von%20Rum%C3%A4nien%2020180507.jpg,http://www.wikidata.org/entity/Q54168947
Austria,Vienna,,Point(16.38421389 48.19745556),Russia,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Embassy%20of%20Russia%20in%20Vienna%20at%20end%20of%2019th%20century.jpg,http://www.wikidata.org/entity/Q4555169
Austria,Vienna,"Ölzeltgasse 3, Vienna",Point(16.378275 48.198),Serbia,embassy,+43-1-7132595,,http://www.vienna.mfa.gov.rs/,http://commons.wikimedia.org/wiki/Special:FilePath/Oelzeltgasse3.JPG,http://www.wikidata.org/entity/Q5369858
Austria,Vienna,,Point(16.3634 48.2159),Slovenia,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%2009%20Slowenische%20Botschaft%20b.jpg,http://www.wikidata.org/entity/Q54168965
Austria,Vienna,,,South Korea,permanent mission,,,,,http://www.wikidata.org/entity/Q55734514
Austria,Vienna,,Point(16.3745 48.1917),Spain,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Botschaft%20von%20Spanien%2020180507-02.jpg,http://www.wikidata.org/entity/Q54168971
Austria,Vienna,,Point(16.3536 48.2083),State of Palestine,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Haus-Josefsgasse%205-01.jpg,http://www.wikidata.org/entity/Q29448077
Austria,Vienna,,Point(16.384 48.2),Sudan,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Reisnerstr29.JPG,http://www.wikidata.org/entity/Q54168979
Austria,Vienna,,Point(16.37184 48.21896),Sweden,embassy,,,http://www.swedenabroad.com/Wien/,http://commons.wikimedia.org/wiki/Special:FilePath/Palaisszeps.JPG,http://www.wikidata.org/entity/Q27588313
Austria,Vienna,,Point(16.3761 48.1964),Switzerland,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/1030%20Prinz%20Eugen-Stra%C3%9Fe%207-11a%20-%20Schweizer%20Botschaft%20-%20ehemalige%20Reitschule%20mit%20Nebengeb%C3%A4uden%20des%20Palais%20Schwarzenberg%20IMG%205257.jpg,http://www.wikidata.org/entity/Q54168959
Austria,Vienna,,Point(16.342 48.2326),Thailand,embassy,,,,,http://www.wikidata.org/entity/Q54168985
Austria,Vienna,,Point(16.3783 48.1931),Turkey,embassy,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Botschaft%20014.jpg,http://www.wikidata.org/entity/Q2464773
Austria,Vienna,"Naaffgasse 23, 1180 Vienna",Point(16.31189 48.23407),Ukraine,embassy,+43-1-479717211,mailto:emb_at@mfa.gov.ua,http://austria.mfa.gov.ua/ua,,http://www.wikidata.org/entity/Q12142691
